Наименование,Продавец,Цена_raw,Рейтинг,Дата_первого_отзыва,Ссылка,Текст_отзыва,len_review
"Xiaomi Смартфон Redmi Note 14S Ростест (EAC) 8/128 ГБ, сиреневый",Ozon Россия,21 999 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14s-rostest-eac-8-128-gb-sirenevyy-1952923046/,"Xiaomi Смартфон Redmi Note 14S Ростест (EAC) 8/128 ГБ, сиреневый || Пользователь предпочёл скрыть свои данные || пользуюсь с июля, мне все нравится, никаких нареканий, очень быстро заряжается оригинальной зарядкой и медленно расходует заряд!",241
"Samsung Смартфон Galaxy A56 12/256 ГБ, зеленый",AE Dubai Freezone O...,28 530 ₽,4.9,10 июля 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-12-256-gb-zelenyy-2039515987/,"Samsung Смартфон Galaxy A56 12/256 ГБ, зеленый || Отлично 👍 Заказ шёл 17 дней. Это мой первый опыт покупки смартфона из-за границы. Долго искала, смотрела, читала отзывы покупателей о товаре разных продавцов. 
Смартфон мой samsung a51 ремонту не подлежал и я хотела эту модель, обзор посмотрела, мне понравилось всё по характеристикам, что мне нужно было.
Продавец отвечает на все вопросы, год гарантия... || Телефон хорошо упакован, пломбы на коробке целые, оригинал! Телефоном доволен! Благодарю!",498
"Samsung Смартфон Galaxy A56 (РСТ) 8/256 ГБ, серый",Ozon Россия,33 999 ₽,4.9,1 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-rst-8-256-gb-seryy-1939033526/,"Samsung Смартфон Galaxy A56 (РСТ) 8/256 ГБ, серый || Пользователь предпочёл скрыть свои данные || очень раду организация самсунг а56
очень понравилось чувствуешь счастья за покупку озон и больше благодарю оценки 100%",216
Название не найдено,Не найден,10 703 ₽,5.0,2 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-global-8-256-gb-chernyy-3005376517/,"Ребёнок написал письмо Деду Морозу, что на Новый год хочет телефон. Ну Дед Мороз когда прочитал немного как бы мягко сказать был ,,удивлён’’, но желание ребенка пришлось исполнить. 
Заказал телефон REDMI 15, пришел из Китая, упаковка целая. Так включили посмотрели, немного покопались в нем, вроде все работает. 
Ждём теперь Нового Года, чтоб Дед Мороз... || Пришло все хорошо упаковано. Брал телефон ребёнку, немного большеват размер, так сказать на вырост) Но в целом все отлично. Ребёнок счастлив 256гб памити, отличный процессор за 10 000р это считай даром. Спасибо продавцу и озон! || Получил телефон REDMI 15 без заявленного беспроводного интерфейса ""NFC"". Открыл процедуру частичной компенсации или возврата товара. Получил хорошую сумму компенсации. Продавец - ОТЛИЧНЫЙ. Оставил телефон в подарок ребенку.",813
"Восстановленный Смартфон Global 8/256 ГБ, зеленый",Annie Phone,5 975 ₽,4.4,25 сентября 2025,https://www.ozon.ru/product/vosstanovlennyy-smartfon-global-8-256-gb-zelenyy-1867425326/,"Восстановленный Смартфон Global 8/256 ГБ, зеленый || Отличный сотовый кому за 60лет для пенсионеров, с характеристиками не правда,так как там 4/128гб вместо заявленных 8/256гб, шнурик для зарядки тонкий-не заряжает-пришлось купить новый шнур ,стекло было разбито-пришлось тоже купить новое с чехлом, а так как купил пенсионеру в подарок, то все довольны и спасибо продавцу и озону, надеюсь поработает))👍🤝... || получил то что заказал а заказывал редми 13с в отличном состоянии. Читая отзывы оставленные раньше очень переживал. но это было зря. телефон отличный все скачивается все сохраняется. заказывал для ребенка. Он счастлив.👍👍👍👍. Спасибо за товар.",652
"OPPO Смартфон Reno13 F Ростест (EAC) 8/256 ГБ, серый",OPPO,24 999 ₽,4.0,19 октября 2025,https://www.ozon.ru/product/oppo-smartfon-reno13-f-rostest-eac-8-256-gb-seryy-1847766096/,"OPPO Смартфон Reno13 F Ростест (EAC) 8/256 ГБ, серый || при хорошем освещении,съёмка нормальная,но при покупке понимала,что камера не вау ,а средняя,но не плохая. можно под себя настроить некоторые функции. интересная функция ии,как и писали ранее на редактирование ии качество фотографий выезжает ,приобрела его так как в ценовом сегменте с таким объёмом памяти это замечательный выбор,съемку под водой ещё... || себе брала ф14, я в захвате, а сыну 13ф, тоже самое всем советую",478
"Xiaomi Смартфон Redmi 15C 4/256 ГБ, черный",Ozon Россия,10 353 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15c-4-256-gb-chernyy-2747506602/,"Xiaomi Смартфон Redmi 15C 4/256 ГБ, черный || Пользователь предпочёл скрыть свои данные || На первый взгляд все хорошо. Насчёт автономности и удобства использования можно будет судить позже. Пока все устраивает. Единственный неприятный сюрприз - узор на крышке в виде блесток, на любителя, может кому наоборот понравится",320
"Смартфон Смартфон мини 8/512 ГБ, черный, черно-серый",Red_Market,5 598 ₽,8.0,7 декабря 2025,https://www.ozon.ru/product/smartfon-smartfon-mini-8-512-gb-chernyy-cherno-seryy-2100072112/,"Смартфон Смартфон мини 8/512 ГБ, черный, черно-серый || Забавный телефончик. Притормаживает конечно, но вроде все работает. || Телефончик очень милый, небольшой и забавный. В школе у сына его часто просили продать.

В последнее время он немного глючит, но это не критично.
Спасибо 🌹",282
"Samsung Смартфон Galaxy Z Flip7 Ростест (EAC) 12/512 ГБ, коралловый",Ozon Россия,84 999 ₽,4.9,2 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-z-flip7-rostest-eac-12-512-gb-korallovyy-2421931839/,"Samsung Смартфон Galaxy Z Flip7 Ростест (EAC) 12/512 ГБ, коралловый || Сегодня получила телефон. Не так давно, 2.5 месяца назад купила телефон флип 6 из Китая, так вот у него по середине пошел воздух и пришлось сдавать обратно, благо продавец попался нормальный. Пришлось в скором порядке покупать что то другое, но так как я хотела именно флип, то выбор пал на 7, так 6 версией я уже пользовалась и мне сам смартофон очень... || до этого был 5й отработал 3 года потом батарейка начала выдыхаться
из отличий - морщинка на сгибе менее заметная ну и наружный дисплей во весь корпус. немного тоньше но при этом шире и длиннее и отсутствует щель в сложенном состоянии 
на этом пожалуй все отличия 

имейте в виду что пленка на дисплее это расходник раз в год нужно менять, стоит она копейки...",790
"Samsung Смартфон Galaxy S25 (SM-S931B/DS) Global 12/256 ГБ, светло-зеленый",Дубайский Экспресс....,56 580 ₽,5.0,7 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-sm-s931b-ds-global-12-256-gb-svetlo-zelenyy-1843002930/,"Samsung Смартфон Galaxy S25 (SM-S931B/DS) Global 12/256 ГБ, светло-зеленый || Дополнение по поводу камеры:
Если в настройках выбрать максимальную интеллектуальную оптимизацию кадра, то фотки становятся лучше 

Если кратко - всё хорошо 
Отзыв на следующий день: телефон был заказан 10 июня, доставлен 5 июля с задержкой в неделю. Очень переживал, волновался, не понимал почему тут так дёшево и почему отзывы у магазина ровно 5 (до... || Пользователь предпочёл скрыть свои данные",477
"Tecno Смартфон CAMON 40 Ростест (EAC) 12/256 ГБ, белый",Ozon Россия,17 599 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-camon-40-rostest-eac-12-256-gb-belyy-2317357636/,"Tecno Смартфон CAMON 40 Ростест (EAC) 12/256 ГБ, белый || телефон классный всё работает отлично,я кайфанул от его использования. продавец тоже классный ,с ним даже можно поторговаться на скидку. доставка в срок о покупке не жалею ни разу || Пользователь предпочёл скрыть свои данные",282
"ASUS Смартфон ROG 9 FE , Глобальная прошивка поддерживает русский язык и сервисы Google Global 12/256 ГБ, черно-серый",ASUS ROG Official S...,38 291 ₽,4.9,12 августа 2025,https://www.ozon.ru/product/asus-smartfon-rog-9-fe-globalnaya-proshivka-podderzhivaet-russkiy-yazyk-i-servisy-google-global-12-2679057103/,"ASUS Смартфон ROG 9 FE , Глобальная прошивка поддерживает русский язык и сервисы Google Global 12/256 ГБ, черно-серый || Хороший аппарат. CN версия (тенцент по старому/привычному). Проблем касательно вида версии никаких нет. Развели миф, что тенцент версия ""косячная"", увы, косячной может оказаться любая версия, кому как повезет. Отличие от остальных версий — нет обновлений по воздуху (OTA) и всё, вручную обновлять очень просто, я бы не сказал, что это минус.
По работе... || Доволен 👍, рекомендую , отличный аппарат !",522
"QIN Смартфон 4/64 ГБ, черный",Duoqin,14 083 ₽,4.6,3 декабря 2025,https://www.ozon.ru/product/qin-smartfon-4-64-gb-chernyy-1695347220/,"Пришлось повозиться, но всё загрузил с iPhone, кроме Т9. Работает. В руке очень приятный. 
Минусы: Одна СИМ карта, нет без проводной зарядки. Это минусы и цена без этого думаю завышена. Но это лучший кнопочный телефон! Хотел,купил.
Пользуюсь и могу дополнить отзыв. Т9 работает, наладил. Батарея держится хорошо. Приложения работают уверенно и без глюков... || работает отлично. быстро. беру уже второй такой телефон, на первом разбился экран, да и сам корпус пострадал. (брал не на озоне).
заряд держит долго. греется не сильно.
👍 || Всё отлично, работает, сим видит, телега, вк, ватсап работают, была ранее версия f22, тоже всё нормально было, заказал этот для работы, удивил размер, я ожидал чуть поменьше",708
"Samsung Смартфон Samsung Galaxy A56 5G NFC Exynos 1580 4nm Емкая батарея 5000 мАч 50Мп OIS Тройная основная камера 6,7 дюйма 120Гц AMOLED Экран Мощная защита IP67 12/256 ГБ, черно-серый",Электех,28 023 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-samsung-galaxy-a56-5g-nfc-exynos-1580-4nm-emkaya-batareya-5000-mach-50mp-1941137106/,"Samsung Смартфон Samsung Galaxy A56 5G NFC Exynos 1580 4nm Емкая батарея 5000 мАч 50Мп OIS Тройная основная камера 6,7 дюйма 120Гц AMOLED Экран Мощная защита IP67 12/256 ГБ, черно-серый || Хороший телефон,пришёл раньше немного,был на китайском но легко разобрался как поменять язык. || купила телефон на подарок супругу первое впечатление было не однозначным так как коробка с телефоном была открыта (пломба разрезана)потом я почитала пишут, что на границе открывают и проверяют товар после только пропускают на территорию РФ, я успокоилась)))о самом телефоне он классный, яркий быстрый. камера супер. русифицирован . надеюсь будет...",634
"Смартфон 12/256 ГБ, черный",Магазин мобильных тел...,5 298 ₽,3.9,5 ноября 2025,https://www.ozon.ru/product/smartfon-12-256-gb-chernyy-2814605098/,"Телефон пришел просто в коробке, без пупырчатой пленки.Стекло целое, сразу тел не включился, заряд оказался на нуле, что ни есть хорошо.В состав входила зарядка и наушники проводные.По работе дополню позже. || отличный телефон за эти деньги лучше только на авито бу || Телефон чёткий за свои деньги👍есть только один вопрос а кто производитель? Перерыл весь смартфон все документы но ничего не нашол по поводу этого! А в остальном смартфон хороший!",447
"Poco Смартфон Глобальная версия POCO M7 Pro 5G NFC Поддерживает русский язык 12/512 ГБ, зеленый",Технофаны,15 444 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/poco-smartfon-globalnaya-versiya-poco-m7-pro-5g-nfc-podderzhivaet-russkiy-yazyk-12-512-gb-zelenyy-2267567329/,"Poco Смартфон Глобальная версия POCO M7 Pro 5G NFC Поддерживает русский язык 12/512 ГБ, зеленый || Отличный и недорогой телефон. Приличный за свои деньги.
Пришел, упакованный в ""дутиш"", целый, исправный. Непривычно, что разблокировать по пальцу на экране, а не на кнопке. Удобно, что автоматически перенеслись все настройки и приложения с предыдущего Poco.
В дальнейшем при использовании, возможно дополню отзыв || Телефон шустрый.фото отличные.не чего не весит. рекомендую..",475
"realme Смартфон C71 8/256 ГБ, зеленый",МегаФон,15 457 ₽,4.9,22 октября 2025,https://www.ozon.ru/product/realme-smartfon-c71-8-256-gb-zelenyy-2274254338/,"Телефон брала зятю.Очень понравился ему,быстро разобрался в нем.Счастливый,как ребенок.В комплекте был чехол.Хороший телефон ,рекомендую.Два месяца назад такой же брала внуку.Работает хорошо,быстро.Хорошая камера.Сейчас очень хорошая цена.Рекомендую. || Взяла мужу в экстренной ситуации, когда его телефон перестал работать, сказал очень класный, весь функционал, который ему нужен на высоте, все устраивает || Телефон понравился! Пришёл уже с защитным стеклом , в комплекте чехол.Так же сим-карта и 3 месяца связи в подарок ! Вот это сервис! Спасибо большое!",559
"Poco Смартфон POCO F7 Snapdragon® 8s поколения 4 от массивным AMOLED-дисплеем емкостью 6500 мАч диагональю 6,83 дюйма, разрешением 1,5 Кбит/с и частотой 120 Гц EU 12/512 ГБ, белый",Dragon-X Store,28 936 ₽,4.0,3 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-f7-snapdragon-8s-pokoleniya-4-ot-massivnym-amoled-displeem-emkostyu-6500-mach-2451127682/,"Poco Смартфон POCO F7 Snapdragon® 8s поколения 4 от массивным AMOLED-дисплеем емкостью 6500 мАч диагональю 6,83 дюйма, разрешением 1,5 Кбит/с и частотой 120 Гц EU 12/512 ГБ, белый || телефон пришел быстро упакован хорошо рекомендую. попользуюсь допишу || Отличный смартфон, рекомендую однозначно, шустрый, хорошая камера.",321
"Unihertz Смартфон Jelly Star Global 8/256 ГБ, синий",Unihertz Official S...,13 116 ₽,4.8,24 ноября 2025,https://www.ozon.ru/product/unihertz-smartfon-jelly-star-global-8-256-gb-siniy-1325820712/,"Unihertz Смартфон Jelly Star Global 8/256 ГБ, синий || Есть удобная зарядка USB Type-C, правда, расположена сбоку, что непривычно, но неудобств не создает. Разъём для наушников. NFC - для оплаты картами и записи Тройки. Удобно держать и удобно носить. Сканер разблокировки работает отлично. Конечно, текст набирать неудобно, но компактность решает в его пользу. В комплекте шнурок, зарядное устройство, шнур... || ох че за китайцы молодцы,конешно апарат норм,батарей конешно маловато,но мой самсунг старенький также,даж чуть меньше держит по этому привык каждый день заряжать,и при том быстро заряжает,я доволен этим телефоном,в руке сидит супер,не лопата",655
"Tecno Смартфон POVA 7 Ultra 5G Ростест (EAC) 8/256 ГБ, черный",Фирменный магазин T...,25 708 ₽,4.9,1 ноября 2025,https://www.ozon.ru/product/tecno-smartfon-pova-7-ultra-5g-rostest-eac-8-256-gb-chernyy-2811870857/,"Tecno Смартфон POVA 7 Ultra 5G Ростест (EAC) 8/256 ГБ, черный || Фоток нет, второй телефон с собой не ношу. Переезжал с tecno pova 4 pro, максимально доволен. те же фишки (большая батарея хороший экран и тд) камера стала лучше зарядка стала быстрее экран такой же сочный. работаю с телефона, постоянно пырю в него делаю звонки. всё устраивает, и даже deep seek на элле очень помогает. читайте характеристики, если хотите... || Общее впечатление
TECNO POVA 7 Ultra 5G — это мощный и стильный смартфон, который отлично подходит как для игр, так и для повседневного использования. За свою цену предлагает топовые характеристики: быстрый процессор, шикарный экран, отличную автономность и продвинутые функции ИИ. Особенно порадует геймеров и тех, кто много времени проводит в телефоне...",783
"Honor Смартфон 400 Ростест (EAC) 12/256 ГБ, белый",E-lectronix,30 037 ₽,5.0,30 ноября 2025,https://www.ozon.ru/product/honor-smartfon-400-rostest-eac-12-256-gb-belyy-2864488327/,"Honor Смартфон 400 Ростест (EAC) 12/256 ГБ, белый || Всем привет, сам по себе он нормальный. Но кто заморачиваеться с костомизацией, он не подойдёт. потому что магазин тем в России, хонор не поддерживает. || Отличный телефон! Быстрый, автономный, красивый, камера просто огонь🔥 Ну и цена приятная. пример фото на стандартных настройках.",336
"Xiaomi Смартфон Redmi Note 14 Pro+ 12/512 ГБ, сиреневый",Ozon Россия,37 300 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14-pro-12-512-gb-sirenevyy-1842229061/,"Xiaomi Смартфон Redmi Note 14 Pro+ 12/512 ГБ, сиреневый || Отличный,мощный смартфон средней категории функционала,цены(38 000р.) и качества,EAC(Ростест),NFC,запись разговора,установлены гугловские приложения,гарантия год от ОЗОНА,полная комплектация:быстрая зарядка 120 вт.,кабель,булавка,паспорт на русском и казахском, ВСЁ СОГЛАСНО ОПИСАНИЮ.Я доволен,рекомендую продавца.Год выпуска декабрь 2024 || в целом аппарат совпадает с заявленными характеристиками, пришло за два дня, упаковано в оригинальной пленке, чехол шел в подарок, правда черного цвета это небольшой минус, хотелось бы в прозрачно. фото с 14 про + прилагаю, много стандартных функций для настройки и сглаживания фотографий без сторонних приложений.
В целом, будем пользоваться если что...",756
"Tecno Смартфон SPARK 40 Ростест (EAC) 8/256 ГБ, серебристый",Ozon Россия,11 599 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-spark-40-rostest-eac-8-256-gb-serebristyy-2656326338/,"Tecno Смартфон SPARK 40 Ростест (EAC) 8/256 ГБ, серебристый || С первого взгляда хороший телефон,посмотрим как будет себя вести) брали в подарок) || Хороший телефон. Купил в подарок. Доставка быстрая,в комплекте бампер хорошего качества. На экране уже наклеена гидрогелевая защитная плёнка. Заявленным характеристикам всё соответствует.",336
"Samsung Смартфон Galaxy S25 Ultra 5G Ростест (EAC) 12/512 ГБ, синий",Samsung - фирменный...,118 532 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-ultra-5g-rostest-eac-12-512-gb-siniy-1974016013/,"Samsung Смартфон Galaxy S25 Ultra 5G Ростест (EAC) 12/512 ГБ, синий || Пользователь предпочёл скрыть свои данные || Отличный смартфон, очень долго выбирала, решалась и наконец, заказала, очень переживала, что это мой первый смартфон, который купила на маркетплейсе. Всё пришло хорошо упакованное, пломбы на месте. Телефон очень шустрый, камера отличная, много классных фишек, я довольна на 1000%. Перенос данных с samsung на samsung достаточно быстрый и удобный. В комплекте...",477
"Xiaomi Смартфон Redmi Note 14 4G NFC Ростест (EAC) 8/256 ГБ, черный",Techno Shop,16 632 ₽,5.0,28 сентября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14-4g-nfc-rostest-eac-8-256-gb-chernyy-2275300364/,"Xiaomi Смартфон Redmi Note 14 4G NFC Ростест (EAC) 8/256 ГБ, черный || Товар пришёл быстро, без повреждений, продавца рекомендую 👍. || Телефон пришел в нормальной заводской упаковке (не вскрытой). Телефон абсолютно новый, нет следов, свидетельствующих о том, что он был ранее в эксплуатации. В целом телефон шустрый, стильный и красивый. Благодарю продавца и магазин за качество, ставлю 5/5.",391
"Xiaomi Смартфон Redmi 14C 8/256 ГБ, черный",МегаФон,11 788 ₽,4.9,6 октября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-14c-8-256-gb-chernyy-1726827937/,"Xiaomi Смартфон Redmi 14C 8/256 ГБ, черный || хороший телефон,мне понравился работает хорошо как будет дальше посмотрим 👍 || работает уже второй или третий месяц, не подводит!",175
"Samsung Смартфон Galaxy A56 Global 12/256 ГБ, светло-серый",ОАЭшка,27 962 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-global-12-256-gb-svetlo-seryy-1969920403/,"Samsung Смартфон Galaxy A56 Global 12/256 ГБ, светло-серый || Все пришло, как было заявлено продавцом. Телефон аккуратно упакован, комплектация как и заявлена, даже с 50% зарядки. Все установила ,работает прекрасно || соответствует характеристикам, самое главное, всю мощ пока не испытывал",289
"realme Смартфон 14 Pro Plus(+) 5G NFC Глобальная версия, Snapdragon 7s Gen 3, тройная камера OIS 50 МП Быстрая зарядка 80 Вт Огромная батарея 6000 мАч Пыле- и влагозащита IP69 Global 12/512 ГБ, зеркальный, белый",marketsell,27 180 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/realme-smartfon-14-pro-plus-5g-nfc-globalnaya-versiya-snapdragon-7s-gen-3-troynaya-kamera-ois-50-mp-2833840592/,"realme Смартфон 14 Pro Plus(+) 5G NFC Глобальная версия, Snapdragon 7s Gen 3, тройная камера OIS 50 МП Быстрая зарядка 80 Вт Огромная батарея 6000 мАч Пыле- и влагозащита IP69 Global 12/512 ГБ, зеркальный, белый || Отличный смартфон, в своей ценовой категории.
Работает шустро.
Игра Genshin Impact на максимальных настройках графики летает без фризов и лагов, единственное на 60 fps, в чехле начинает греться, на 30-45 не нагревается и этого достаточно для комфортной игры.
PUBGm также отлично.
Батарея хорошо держит заряд, смело тянет несколько часов игры, плюс несколько... || Телефон прекрасный. Камера отличная. Чехол удобный, но будем заказывать прозрачный. Чтобы задняя панель была видна.",694
"realme Смартфон realme C71 Ростест (EAC) 8/256 ГБ, белый",Mzone,9 697 ₽,4.9,24 ноября 2025,https://www.ozon.ru/product/realme-smartfon-realme-c71-rostest-eac-8-256-gb-belyy-2208285827/,"realme Смартфон realme C71 Ростест (EAC) 8/256 ГБ, белый || пришол хорошо упакован. всё работает. в процессе эксплуатации посмотрим как дальше будет. || Пока всё работает. Есть даже слот под под флешку хотя его не должно быть.🖖🏻👋🏻",230
"Samsung Смартфон Galaxy S25 Ultra Global 12/256 ГБ, черный",ОАЭшка,66 630 ₽,5.0,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-ultra-global-12-256-gb-chernyy-1970547694/,"Samsung Смартфон Galaxy S25 Ultra Global 12/256 ГБ, черный || товар пришёл быстро, заявленное качество соответствует, покупкой давольна || классный телефон, пришёл раньше, заказывать можно. спасибо продавцу",206
"Honor Смартфон 400 Lite Ростест (EAC) 8/256 ГБ, серый",Ozon Россия,20 325 ₽,4.9,1 декабря 2025,https://www.ozon.ru/product/honor-smartfon-400-lite-rostest-eac-8-256-gb-seryy-2133659471/,"Honor Смартфон 400 Lite Ростест (EAC) 8/256 ГБ, серый || Приобрела телефон Honor 400 Lite - 256 Гб, 120 Гц. 
Яркий дисплей, работает быстро, не зависает, привлекательный вид, очень лёгкий)) 
Память 256, что очень неплохо👍
Камера очень отличная, много фишек -живое фото, редактор фото, есть отдельная кнопка запуска камеры сбоку, 
АКБ хватает на сутки при среднем использовании, т. е. наушники, разговоры, мессенджеры... || Второй телефон данной модели покупаю у этого продавца. Точно такой же покупали в июне 2025 г. мужу. Пришёл очень быстро, вечером заказали, на след. день вечером уже получили. Телефон супер, всем советую. В коробке лежал чехол силиконовый, на телефоне плёнка защитная наклеена.",699
"Samsung Смартфон Galaxy S25 FE Ростест (EAC) 8/256 ГБ, черный",Samsung - фирменный...,53 390 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-fe-rostest-eac-8-256-gb-chernyy-2806598489/,"Samsung Смартфон Galaxy S25 FE Ростест (EAC) 8/256 ГБ, черный || Пользователь предпочёл скрыть свои данные || общее впечатление хорошее надеюсь, что прожёт столько же сколько и прошлый. Хотя после Галакси а31 немного непривычно
памяти столько сколько и было заявлено, насчёт игар сказать пока не могу буду тестировать.",318
"Poco Смартфон Мировая версия Poco M7 NFC с поддержкой русского языка Global 8/256 ГБ, черный матовый",MI Электронный мага...,10 553 ₽,4.9,17 ноября 2025,https://www.ozon.ru/product/poco-smartfon-mirovaya-versiya-poco-m7-nfc-s-podderzhkoy-russkogo-yazyka-global-8-256-gb-2703787722/,"Poco Смартфон Мировая версия Poco M7 NFC с поддержкой русского языка Global 8/256 ГБ, черный матовый || На пункт выдачи поступил с небольшой задержкой. Это было не критично для меня. Порадовала комплектация, в которую кроме телефона вошли: зарядное устройство, кабель и чехол. Телефон шустрый. Качество снимков хорошее. || отличный телефон,все работает ,закажу ещё один сыну",374
"Xiaomi Смартфон Redmi Note 14 Pro Ростест (EAC) 12/256 ГБ, голубой",Ozon Россия,27 899 ₽,4.9,1 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14-pro-rostest-eac-12-256-gb-goluboy-1842229094/,"Xiaomi Смартфон Redmi Note 14 Pro Ростест (EAC) 12/256 ГБ, голубой || телефон хороший. все работает. упакован в плёнку. быстро перенесли данные со старого телефона. фото отличные, четкие, яркие. рекомендую. || спасибо за телефон! все отлично работает продавцу спасибо за быстрый доставку!",288
Название не найдено,Не найден,1 920 ₽,4.0,23 ноября 2025,https://www.ozon.ru/product/smartfon-2-16-gb-chernyy-2790479408/,Пользователь предпочёл скрыть свои данные || в целом телефон супер но заряжается долго и я думаю что ещё не держит батарею || товар старый подменный бу вместо нового J 4 прислали старый разбитый J 5 ха и ха,206
"Honor Смартфон Глобальная версия Honor X9C 5G NFC батарея емкостью 6600 мАч поддержка подзарядки 66 Вт Тройная камера 108 Мп Процессор Snapdragon 6 Gen 1 12/256 ГБ, черный",ТопСмарт,20 341 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/honor-smartfon-globalnaya-versiya-honor-x9c-5g-nfc-batareya-emkostyu-6600-mach-podderzhka-2568581805/,"Honor Смартфон Глобальная версия Honor X9C 5G NFC батарея емкостью 6600 мАч поддержка подзарядки 66 Вт Тройная камера 108 Мп Процессор Snapdragon 6 Gen 1 12/256 ГБ, черный || Пользователь предпочёл скрыть свои данные || Брала на подарок. Пришло вовремя. 
Позже дополню отзыв, как в работе",288
"Honor Смартфон X9d Ростест (EAC) 8/256 ГБ, черный",Smart Hub,24 868 ₽,5.0,6 декабря 2025,https://www.ozon.ru/product/honor-smartfon-x9d-rostest-eac-8-256-gb-chernyy-2944024837/,"Honor Смартфон X9d Ростест (EAC) 8/256 ГБ, черный || Производительность. Для повседневного использования и нетребовательных игр хватит за глаза, если что-то потяжелее запускать, то может подтормаживать - процессор snapdragon 6 g4 младший в линейке.

Экран. Он плавный (120hz), цвета насыщенные, яркости хватает даже на улице. При этом частоту можно зарубить в 60hz, если хотите большей автономности.

Батарея... || Пользователь предпочёл скрыть свои данные",456
"Poco Смартфон X7 Ростест (EAC) 12/512 ГБ, зеленый",Ozon Россия,24 999 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-x7-rostest-eac-12-512-gb-zelenyy-1842229120/,"Poco Смартфон X7 Ростест (EAC) 12/512 ГБ, зеленый || Замечательный смартфон по демократичной цене ☺ шустрый, яркий, отличные фото и видео. В комплект входит бампер на телефон, мне достался графитового цвета. || Покупали себе с женой два смартфона, до этого у меня тоже был POCO и он меня очень порадовал, поэтому остановили выбор именно на этой модели. Эта модель так-же радует и надеюсь будет радовать и в дальнейшем. замечательные снимки и видео. Качественный звук. Есть всё что необходимо. Работает шустро, без зависаний.",524
"Google Смартфон 6/128 ГБ, синий","Jianyi Digital Co.,...",15 964 ₽,4.8,6 декабря 2025,https://www.ozon.ru/product/google-smartfon-6-128-gb-siniy-2165263915/,"товар был заказан 31 октября, пришел 4 ноября. все хорошо, только прошу продавца отредактировать описание, указать, что ОДНА СИМКА. я не нашла сразу, забыла, заказала, а сейчас жалею, что не узнала заранее, очень неудобно. || Пришел немного позже заявленного срока , но видимо связано с большим потоком через границу . телефоном доволен , коробка в заводских пломбах , комплект + добали силиконовый чехол и зарядку . || Отличный смартфон. Пришел раньше срока. Упакован хорошо. В комплекте кабель, блок питания. В подарок продавец положил защитное стекло. Все работает! Телефон супер! Батарея новая. Аппарат рекомендую! Берите, не сомневайтесь! Продавцу большое спасибо! Покупкой доволен",686
"Honor Смартфон Honor 400 Pro 5G NFC Snapdragon 8 Gen 3 Global 12/512 ГБ, черный",upward store,38 371 ₽,4.9,21 ноября 2025,https://www.ozon.ru/product/honor-smartfon-honor-400-pro-5g-nfc-snapdragon-8-gen-3-global-12-512-gb-chernyy-2809930421/,"Honor Смартфон Honor 400 Pro 5G NFC Snapdragon 8 Gen 3 Global 12/512 ГБ, черный || Дождалась ура! Доставка в сроки обозначенные 👍 упакован в пакет с пупыркой, коробка не помята, упакована в плёнку, для блока зарядного положили переходник, массивно конечно, но мне не принципиально. Русский есть, NFC есть, Гугл и все к нему есть. Фотки супер. Ещё не переносила всё в него, потом дополню. На данный момент, рекомендую продавца, за следующим... || К телефону вопросов нет, все хорошо. Версия глобальная, зарядка для Англии. Но упаковка в пакет и один слой обычной пупырки, в то время как наши корабли бороздят просторы вселенной, это несерьёзно. Коробка запечатана. Русский язык есть. Версия глобальная (никаких китайских приложений). Батарея 6000. Узнать итоговую стоимость можно нажав кнопку ""купить...",802
